Percent_Change_in_Degree,Percent_Change_in_Impact_Score
0.32,-0.0598608341103284
0.0555555555555556,-0.0292166195831591
0.142857142857143,-0.205118959407033
0,-0.198871214846988
0,0.0653066765770171
0.25,0.0256258017094699
0,-0.0601524512850548
0,0.0810581643863534
0,-0.0344699367629414
0,-0.105474147240284
0,-0.0724907431824154
0,-0.0884876219160315
0,-0.0802761192712031
0,-0.0608936350513901
0,-0.0738123946736332
0.1,0.0707576737582821
0,-0.0921101206024529
0,-0.0331249880332083
0,0.0100869247365868
0,0.0180181245603873
0.25,-0.0103719931353843
0,-0.00138124556262524
0.25,-0.0233892871569032
0.25,0.355368904782739
0.5,0.60952350677193
0,-0.150303727028339
0,-0.11290749635204
0.166666666666667,-0.14976216789806
0.333333333333333,-0.104112310467166
0,-0.204874426408522
0.333333333333333,0.0528901418506426
0,-0.0479485839697868
0.5,-0.0251694524229918
0.2,-0.288706859489356
0.25,-0.239942128133073
0.25,-0.163950723777883
0.5,0.0353368423933168
0.4,-0.102178718396569
0.5,0.110105318688438
0.25,0.00432800899260413
0.4,-0.0732431784316988
0,-0.125358933633333
0,-0.138912645868602
0,-0.0485806572000973
0.142857142857143,-0.0894602573402733
0,-0.129455749610052
0,-0.177245447855263
0,-0.112433084381672
0,-0.152135549544973
0,-0.208205014352263
0,-0.170080817078418
0,-0.153164248931093
0,-0.234566298788906
0,-0.0988083073651866
0,-0.257150100710895
0,-0.195454277871142
0,-0.207078888924367
0,-0.144206185037556
0,-0.21481424111993
0,-0.207762943828333
0,-0.305264362944868
-0.5,-0.386792904334413
0,-0.182144969453727
0,-0.0504422211522237
0,-0.0718431357047415
0,-0.124326879513326
0,-0.237324189603633
0.333333333333333,-0.45274655146246
0,-0.233656417358686
0,-0.25527763434514
0,-0.411160086792757
0,-0.580783316114375
-0.0833333333333333,-0.247708443246199
0,-0.195185882403273
0.0833333333333333,-0.221728393681819
0,-0.069078550747119
0,-0.109988709587325
0,-0.0806420307700709
0,-0.0318713732464563
0,-0.202408904734775
0,-0.259231135361091
0,-0.2692486157875
0,-0.153389577391777
0,-0.00966253205617221
0,-0.0605421274531508
0,-0.0462027200767322
0,-0.0787303102816424
0,-0.220095659077687
0,-0.207350705485794
0,-0.171250499582378
0,-0.227458893166177
0,-0.0895557326193676
0,-0.147486936961655
0,-0.125840899473926
0,-0.113227876433703
0,-0.089991260321306
0,-0.0414263683445157
0,-0.117558377937754
0,-0.118998755118815
0,-0.192914963697488
0,-0.125173823275904
0,-0.12277453293439
0,-0.0412169268779853
0,-0.224104464627371
0,-0.214712381482271
0,-0.222105224764794
0,-0.180485534243908
0,-0.1633156573415
0,-0.083792892580658
0,-0.0447064516592644
0,-0.0507196512787631
0,-0.0817145111076704
0,-0.124805035550599
0,-0.50548452598169
0,-0.429696613547808
0,-0.396547182784383
-0.428571428571429,-0.341335180310841
0,-0.0890893780350773
0,-0.440687045592763
0,-0.479452676427707
0,-0.120416671469687
0,-0.0789736548136519
0,-0.146757347369673
-0.333333333333333,-0.083332571952579
-0.333333333333333,-0.0257234145071968
-0.5,-1.51713606084812
0.666666666666667,0.315369692671064
0.333333333333333,0.0183898854090769
0,-0.0513794116315969
0,-0.11687241357083
0,0.000204737766774198
0,-0.0896151612268928
0,-0.0834902267264907
0,-0.126526044068964
0,-0.534113340588018
0.5,-0.360960678445655
0,-0.422896077916404
0.5,-0.369008803158375
0.333333333333333,-0.806193229883866
0.333333333333333,-0.400903253466862
0.5,-0.148999299688299
0.5,-0.289404283909161
0.5,-0.419073635117636
0.5,-0.419098197407807
0.25,-0.734025301088621
0.5,-0.765774360971797
0.333333333333333,-0.703189550364899
0,-0.751601798616204
-0.5,-0.701599955378086
0,-0.419971671444195
0,-0.537651036432115
0,-0.443663082662206
0,-0.354217881251602
0,-0.612936588848701
0,-0.411560214531726
0,-0.483015778305069
0,-1.05876004344294
0,0.101538480157456
0.333333333333333,-0.097610892888856
0,-0.185329721613463
0,-0.00542123492669134
0,-0.0380233063951483
0,-0.0351309274545911
0,-0.183318585706247
0,-0.0742095764649009
0.333333333333333,-0.0260045569882704
-0.5,-0.154304075911656
0.25,0.160232732965062
0,-0.0987429105305988
0,-0.136289628060765
0,-0.0637344900339446
0.333333333333333,-0.00825813043365917
-0.5,0.0744000394067927
0.333333333333333,-0.211499063545407
0,-0.0814981950093275
0,-0.0540772243098007
0,-0.008343445654224
0,0.0171308668971404
0,-0.0700462601453166
0,0.0780949825726227
-0.5,-0.19298403592418
0,-0.0849893809437396
0,-0.157539907794903
0,-0.118449736565712
0,-0.148654650032213
0.333333333333333,0.0583053073204274
0,-0.201359176341816
0.166666666666667,-0.270649798389957
0.5,0.100385756602677
0,-0.0975924346986419
0,-0.0677756993063367
0.285714285714286,-0.0782736684819196
0.2,0.0565155805950719
0.25,-0.014377775092167
0,-0.0153191077149412
0,-0.0583844591952802
0,-0.0411185484551317
0,-0.0143944008669347
0,-0.102011918275628
0,-0.0760186729366685
0,-0.243244224454862
0,-0.481215583646271
0,-0.302779056387773
0,-0.290926483990746
0,-0.240354700438376
0,-0.127532534029609
0,-0.17396370981838
0,-0.284608051868084
0,-0.189399429240294
0,-0.126607243405541
0,-0.168592701048022
0,-0.166076978796855
0,-0.163243272537974
0,-0.106944486099746
0,-0.0302744175984623
0,-0.0352826691867905
0,-0.131087105428108
0,-0.636374251933842
0,-0.405797328346747
0.5,-0.535650400055037
0,-0.302906140121597
0,-0.248252693683392
0.5,-0.442095340242515
0,-0.590656623585468
0,-0.464893530872285
0,-0.212371818377206
0,-0.219081064812316
0,-0.0798385452366112
0,-0.156238138512551
0,-0.0834216809901306
0,-0.109310458918162
0,-0.158023379008087
0,-0.105498014239198
0,-0.157896111797647
0,-0.14024105313369
0,-0.118551485347392
0,-0.136027408569565
0,-0.202210261106773
0,-0.269692915107433
0,-0.055293076561263
0,-0.144585399028448
0,-0.109330539332156
0,-0.182417480213562
0,-0.127041294862435
0,-0.0866069571465793
0,-0.165054493110967
0,-0.0844710592387317
0,-0.0993765043522247
0,-0.174431694501853
0,-0.127309928666415
0,-0.12949481003044
0,-0.106139865621962
0,-0.116655501061589
0,-0.179944037502524
0,-0.130820558926122
0,-0.140089216010875
0,-0.130470757496163
0,-0.0556159556548759
0,-0.115477400751107
0,-0.291279932962502
0,-0.195818105871484
0,-0.239297174429819
0,-0.145184116098605
0,-0.245150024204886
0.0909090909090909,-0.566895050262516
-0.142857142857143,-0.785490483081673
-0.1,-0.699516914918588
0,-0.0116524224335318
0,0.0488823332496782
0,-0.39671689310841
