MSK_Hyperedge_Deg_1,MSK_Hyperedge_Deg_2,MSK_Hyperedge_Deg_3,MSK_Hyperedge_Deg_4,MSK_Hyperedge_Deg_5,MSK_Hyperedge_Deg_6,MSK_Hyperedge_Deg_7,MSK_Hyperedge_Deg_8,MSK_Hyperedge_Deg_9,MSK_Hyperedge_Deg_10,MSK_Hyperedge_Deg_11,MSK_Hyperedge_Deg_12,MSK_Hyperedge_Deg_13,MSK_Hyperedge_Deg_14,MSK_Hyperedge_Deg_15,MSK_Hyperedge_Deg_16,MSK_Hyperedge_Deg_17,MSK_Hyperedge_Deg_18,MSK_Hyperedge_Deg_19,MSK_Hyperedge_Deg_20,MSK_Hyperedge_Deg_21,MSK_Hyperedge_Deg_22,MSK_Hyperedge_Deg_23,MSK_Hyperedge_Deg_24,MSK_Hyperedge_Deg_25,MSK_Hyperedge_Deg_26,MSK_Hyperedge_Deg_27,MSK_Hyperedge_Deg_28,MSK_Hyperedge_Deg_29,MSK_Hyperedge_Deg_30
NaN,10496.27804,8928.720839,9776.064692,8630.438459,6722.653198,8288.078221,5837.531131,8557.679845,6693.169098,6177.728255,6280.539207,7318.37389,NaN,NaN,8623.435466,9506.304107,NaN,NaN,NaN,NaN,8630.700362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8462.825287
NaN,10210.79505,9252.670467,10015.42411,9817.520042,8570.365968,6063.500477,9471.103632,9312.756943,6812.60597,6648.955315,NaN,6946.841345,NaN,NaN,8166.51434,11461.60535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,10366.50358,10116.51319,9061.515804,8341.439446,6697.78998,6743.694149,7333.637111,7081.087994,10120.88956,8474.641946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,10277.36458,10012.94137,9858.308845,6276.904844,7427.736221,NaN,6063.587269,6552.412573,6618.539669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,10099.0889,10594.55884,6295.695532,5051.913919,8758.36372,NaN,7760.58082,7369.511341,8969.604536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,5948.583489,10117.17979,5948.882687,5860.993163,8555.32512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,9939.047741,9410.333012,6281.637737,8368.970399,6874.601186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,10287.77338,9108.369538,6636.815469,8187.841962,6619.652448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,10188.99009,8328.505513,5318.528095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,5896.398082,5904.680337,5320.437916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,8174.79742,5832.249796,2575.588175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,9855.393268,5869.616037,4024.012265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
