Hand_Distal_Phalanx_5,Clavicle,Foot_Distal_Phalanx_3
0.35205892,8.17807,0.048225563
0.65071785,13.990041,0.101423524
1.5040778,17.444748,0.14869578
2.5591028,19.026707,0.18961129
3.7102597,19.205227,0.23015147
4.9646955,18.443506,0.25769654
6.3371854,17.040787,0.29135302
7.8488183,15.28681,0.30437344
9.519878,13.4049425,0.33529362
11.371459,11.670868,0.33217037
13.419114,10.381889,0.36900333
15.669987,9.879778,0.3471356
18.121199,10.359602,0.4064528
20.76146,11.753783,0.3656228
23.573156,13.823186,0.48048723
26.535048,16.349411,0.4466291
29.62445,19.189056,0.67637926
32.818924,22.248537,0.7691829
36.097435,25.457676,1.1336453
39.440994,28.746965,1.3976947
42.83272,32.051735,1.753517
46.257915,35.309162,2.0557656
49.703754,38.46986,2.3616414
53.158936,41.491997,2.6364112
56.613327,44.3484,2.898004
60.058083,47.01637,3.1416006
63.486393,49.48337,3.375426
66.89338,51.736065,3.6011615
70.27585,53.76627,3.8232877
73.631996,55.561115,4.0438466
76.9613,57.10967,4.2649565
80.26419,58.39629,4.4874854
83.541885,59.408455,4.7118587
86.79625,60.134342,4.937874
90.02982,60.569607,5.1648693
93.245865,60.71706,5.3918653
96.44825,60.588585,5.617692
99.641655,60.20705,5.8410907
102.83127,59.603912,6.060912
106.02271,58.82401,6.275986
109.22177,57.914562,6.4852366
112.4341,56.92887,6.687812
115.66482,55.9085,6.883
118.9182,54.894035,7.070164
122.19727,53.908005,7.2489004
125.503624,52.974194,7.418878
128.83722,52.09839,7.5798807
132.19649,51.291775,7.7318425
135.57852,50.547707,7.8747587
138.97937,49.868412,8.00869
142.3941,49.238483,8.13388
145.81715,48.654633,8.250529
149.24231,48.09591,8.358981
152.66278,47.556328,8.459627
156.07127,47.013027,8.552826
159.4599,46.463177,8.639006
162.82051,45.88995,8.718657
166.14449,45.30232,8.792212
169.42303,44.695908,8.860147
172.64732,44.09336,8.92291
175.80858,43.499596,8.9809475
178.8981,42.943676,9.03464
181.90761,42.43083,9.084453
184.8292,41.987442,9.130712
187.65552,41.611458,9.173777
190.37999,41.320423,9.213962
192.99683,41.10128,9.251546
195.50108,40.96026,9.286826
197.8888,40.87348,9.320042
200.15685,40.83782,9.351465
202.30316,40.822903,9.381294
204.3265,40.821346,9.409744
206.22655,40.80216,9.437009
208.00377,40.759167,9.463307
209.65956,40.666035,9.488817
211.19612,40.523045,9.51382
212.61641,40.31331,9.538497
213.92413,40.048668,9.563084
215.12361,39.72572,9.587842
216.21967,39.370636,9.613016
217.21753,38.993782,9.638885
218.12267,38.632442,9.665731
218.94081,38.3041,9.6938505
219.67773,38.045864,9.7235155
220.33934,37.869812,9.755039
220.93147,37.797993,9.788738
221.45996,37.825874,9.824864
221.93033,37.952385,9.863692
222.34775,38.15625,9.905478
222.71681,38.419636,9.95048
223.04141,38.71666,9.998898
223.3246,39.028027,10.050961
223.56879,39.337093,10.106853
223.77563,39.6344,10.16673
223.94633,39.918034,10.230747
224.0816,40.1899,10.299042
224.18196,40.459545,10.371743
224.2478,40.73518,10.4489565
224.27946,41.03103,10.53079
224.2774,41.355217,10.6173525
