Anatomical_Masses_And_Springs,Equal_Masses_And_Springs
121.191414579,1971.371545
114.329506868,2062.846967
114.187947714,2055.227829
113.3377759437,2713.322723
112.181482476,3212.7674
112.0682876865,2792.35958
112.077051249,2770.038
81.47580746,2309.98315
65.26164783,2414.735384
266.76839645,3142.21132
142.41117116,3348.37648
113.121604025,2909.65384
112.928659497,3161.716746
80.06089122,2899.47673
60.4890276,2382.728381
92.3800989,2404.751095
96.08262667,2645.21703
94.76991892,2652.360712
94.93433807,2648.336021
135.271877273,2728.999944
115.3822725754,1929.497544
110.8546766496,3235.77878
181.38493476,2824.42471
199.9832133,3352.36421
157.36108358,2602.956324
112.97729728,3546.580631
206.813128,3722.45589
