"index","muscle","community","homunculus_category"
1,"Trapezius",1,5
2,"Latissimus Dorsi",2,5
3,"Serratus Posterior Superior",3,5
4,"Serratus Posterior Inferior",4,5
5,"Levator Scapulae",5,5
6,"Rhomboid Minor",6,5
7,"Rhomboid Major",6,5
8,"Serratus Anterior",3,5
9,"Deltoid",7,6
10,"Supraspinatus",7,5
11,"Infraspinatus",7,5
12,"Teres Minor",7,5
13,"Teres Major",7,5
14,"Subscapularis",7,5
15,"Subclavius",3,5
16,"Pectoralis Major",3,5
17,"Pectoralis Minor",3,5
18,"Coracobrachialis",7,6
19,"Biceps Brachii",7,6
20,"Brachialis",7,7
21,"Triceps Brachii",7,6
22,"Anconeus",7,7
23,"Pronator Teres",7,7
24,"Flexor Carpi Radialis",7,8
25,"Palmaris Longus",7,8
26,"Flexor Carpi Ulnaris",7,8
27,"Flexor Digitorum Superficialis",7,8
28,"Flexor Digitorum Profundus",7,8
29,"Flexor Pollicis Longus",7,8
30,"Pronator Quadratus",7,8
31,"Brachioradialis",7,7
32,"Extensor Carpi Radialis Longus",7,8
33,"Extensor Carpi Radialis Brevis",7,8
34,"Extensor Digitorum",7,9
35,"Extensor Digiti Minimi",7,9
36,"Extensor Carpi Ulnaris",7,8
37,"Supinator",7,8
38,"Abductor Pollicis Longus",7,8
39,"Extensor Pollicis Brevis",7,8
40,"Extensor Pollicis Longus",7,8
41,"Extensor Indicis",7,13
42,"Abductor Pollicis Brevis",8,14
43,"Flexor Pollicis Brevis",8,14
44,"Opponens Pollicis",8,14
45,"Adductor Pollicis",8,14
46,"Palmaris Brevis",8,9
47,"Abductor Digiti Minimi",8,10
48,"Flexor Digiti Minimi Brevis",8,10
49,"Opponens Digiti Minimi",8,10
50,"Palmar Interossei 1",8,13
51,"Palmar Interossei 2",8,12
52,"Palmar Interossei  3",8,11
53,"Dorsal Interossei 1",8,13
54,"Dorsal Interossei 2",8,12
55,"Dorsal Interossei 3",8,12
56,"Dorsal Interossei 4",8,11
57,"Lumbrical 1",8,13
